D1 LH,D1 RH,D2 LH,D2 RH,D3 LH,D3 RH
2,14,5,5,7,4
20,9,17,6,7,20
1,13,2,10,10,18
1,2,16,6,12,11
16,10,8,12,6,9
12,14,2,12,19,7
16,16,1,13,15,9
14,3,19,11,3,13
13,10,18,7,12,15
11,5,11,5,10,2
9,17,6,6,3,9
12,13,12,14,10,13
7,15,11,7,4,7
15,8,4,20,19,6
11,9,12,1,1,5
16,14,11,4,11,1
13,13,4,9,15,5
10,2,18,6,4,12
15,4,14,6,5,7
16,7,16,18,3,10
14,4,14,12,11,2
17,6,4,4,20,9
3,10,17,8,10,6
17,10,17,17,8,9
20,9,7,5,5,9
1,9,19,1,6,7
18,13,10,13,14,5
14,19,12,14,1,15
14,14,10,10,15,3
11,5,5,13,11,7
6,15,12,8,6,12
9,8,20,1,5,9
15,16,19,5,7,5
16,19,9,6,5,4
13,4,11,4,16,5
16,12,6,4,14,8
12,4,20,9,1,3
11,18,9,14,2,5
17,2,19,4,5,3
12,18,3,10,11,12
5,12,10,1,14,16
15,18,7,11,5,5
3,19,19,7,1,12
5,15,3,11,8,9
5,4,5,8,3,13
2,18,5,9,11,9
12,14,18,18,7,17
6,16,4,20,3,2
10,16,6,19,1,20
6,17,12,20,7,11
2,18,6,7,2,5
4,5,14,13,12,6
20,4,12,11,8,6
6,12,8,8,18,19
8,1,16,1,14,3
15,5,1,13,2,15
20,1,3,18,6,5
9,10,5,11,12,12
13,19,6,15,10,18
18,3,12,8,9,2
16,5,17,10,6,11
6,9,14,13,14,18
12,19,15,17,1,4
18,15,12,12,5,18
10,9,3,20,5,6
8,11,17,9,2,1
15,7,20,4,3,13
14,14,10,5,3,10
7,9,1,5,18,16
11,18,17,2,6,9
2,11,16,12,5,15
9,9,15,13,18,8
6,4,4,7,8,7
12,4,10,4,9,8
6,7,9,12,5,16
10,10,7,4,11,2
18,10,20,12,7,2
16,11,18,8,16,8
11,1,7,8,6,1
17,9,16,19,9,20
15,15,20,13,2,5
14,18,5,8,20,16
20,16,20,13,17,5
9,19,12,2,10,1
16,7,9,6,7,20
13,16,4,17,8,6
11,3,1,17,5,3
5,10,12,15,8,3
6,2,18,6,1,20
11,11,9,8,5,3
11,14,4,11,7,18
3,4,1,17,5,19
13,9,18,5,2,9
16,2,3,8,9,3
17,3,15,7,1,6
3,3,19,20,8,9
17,16,1,15,19,9
13,11,4,3,16,6
14,2,13,7,4,10
20,3,13,19,6,9
10,1,11,2,18,8
4,5,3,16,7,10
11,5,8,13,13,11
9,13,7,2,6,13
10,11,4,11,12,3
8,10,9,3,7,12
9,20,19,3,14,9
5,9,9,8,18,20
15,6,6,3,13,2
8,10,11,17,11,13
10,17,18,15,5,13
2,4,14,4,2,2
11,2,7,6,5,3
6,2,14,17,20,2
17,3,10,17,9,18
10,3,7,13,2,5
5,3,7,8,2,2
9,18,8,6,12,12
15,10,19,6,12,1
1,1,10,9,1,3
2,9,16,11,5,14
14,17,12,5,5,15
4,6,5,14,19,7
18,15,4,10,11,1
10,16,3,3,10,2
10,12,2,2,3,10
6,18,3,18,16,12
15,13,4,4,2,18
3,6,3,11,14,2
15,11,5,2,20,16
16,19,5,7,16,18
14,13,15,13,16,6
8,9,19,5,6,6
16,13,9,4,3,4
4,3,19,11,7,2
16,3,20,11,3,10
5,10,9,5,12,15
20,4,4,4,2,9
4,14,12,19,11,3
10,5,1,10,17,4
12,1,17,20,9,6
17,17,1,5,2,11
18,12,12,17,10,5
2,3,20,4,15,7
17,3,10,8,1,20
12,15,18,15,9,11
6,5,10,12,20,5
16,10,14,9,5,12
11,8,4,4,8,16
12,1,1,13,3,7
5,6,1,14,13,19
14,3,6,2,11,11
14,2,16,13,19,17
10,4,10,6,3,11
7,2,9,6,7,6
15,9,16,19,6,1
3,8,10,3,5,14
5,9,8,3,1,2
9,11,2,13,11,9
12,4,10,16,11,18
10,12,14,10,7,13
11,15,6,14,11,10
6,11,2,3,1,15
14,7,13,20,3,4
12,6,3,2,6,19
8,11,4,12,15,8
1,1,13,12,11,8
10,6,5,4,3,2
13,12,9,14,9,18
20,15,2,1,7,10
3,11,13,12,10,16
4,9,3,10,9,1
2,20,7,10,3,2
15,17,9,16,7,4
11,11,1,11,18,9
6,10,9,15,13,9
14,10,1,12,3,14
10,15,9,4,12,16
10,8,8,8,3,17
18,9,3,5,19,2
12,7,12,1,9,1
4,2,1,6,3,2
11,3,8,10,3,4
2,5,4,7,15,3
2,15,15,5,13,19
8,5,6,14,8,12
14,9,14,11,8,12
4,3,17,12,5,2
12,7,5,12,11,6
7,5,7,3,5,16
13,7,15,9,2,3
11,12,17,3,17,3
8,5,14,11,9,2
1,19,6,12,14,8
9,10,10,3,12,9
10,20,18,2,3,8
2,16,18,19,3,16
5,2,16,3,5,3
3,7,3,5,9,18
20,10,8,7,1,1
9,19,13,4,11,3
1,1,16,1,9,2
17,7,1,8,15,4
4,13,16,1,5,15
1,9,11,20,13,16
7,9,12,10,10,6
14,18,4,9,5,3
16,1,11,5,16,16
20,14,17,1,7,13
2,16,2,6,20,2
10,9,13,10,2,20
7,2,1,18,11,5
11,9,19,13,7,5
4,2,2,2,10,11
7,9,12,17,9,12
19,20,11,13,3,1
7,2,16,1,11,1
12,13,18,19,7,15
4,7,3,15,4,2
7,5,15,10,4,9
5,5,12,9,16,20
1,2,4,2,7,3
3,6,7,20,13,11
6,18,6,6,1,3
3,7,18,2,13,6
8,12,18,3,10,6
8,4,19,20,2,3
1,2,9,9,2,11
18,8,12,12,4,1
19,9,8,9,16,10
9,4,2,13,10,1
12,5,16,8,4,11
4,2,6,4,2,3
7,14,18,8,16,18
2,2,12,5,4,11
16,10,16,13,15,16
14,19,5,6,6,6
